# Logfile created on 2014-01-06 10:15:16 +0200 by logger.rb/36483
E, [2014-01-06T10:15:16.212128 #2244] ERROR -- : Errno::EACCES: Permission denied - /Library/Ruby/Gems/2.0.0/build_info/rake-0.9.2.2.info
I, [2014-01-06T10:16:54.056024 #2261]  INFO -- : 0:  jekyll (0.12.0) from /Library/Ruby/Gems/2.0.0/specifications/jekyll-0.12.0.gemspec
I, [2014-01-06T10:16:57.093899 #2261]  INFO -- : 0:  rack (1.5.2) from /Library/Ruby/Gems/2.0.0/specifications/rack-1.5.2.gemspec
I, [2014-01-06T10:16:58.486939 #2261]  INFO -- : 0:  rack-protection (1.5.0) from /Library/Ruby/Gems/2.0.0/specifications/rack-protection-1.5.0.gemspec
I, [2014-01-06T10:16:59.975660 #2261]  INFO -- : 0:  rb-fsevent (0.9.1) from /Library/Ruby/Gems/2.0.0/specifications/rb-fsevent-0.9.1.gemspec
I, [2014-01-06T10:17:04.319647 #2261]  INFO -- : 0:  rdiscount (2.0.7.3) from /Library/Ruby/Gems/2.0.0/specifications/rdiscount-2.0.7.3.gemspec
I, [2014-01-06T10:17:05.756134 #2261]  INFO -- : 0:  rubypants (0.2.0) from /Library/Ruby/Gems/2.0.0/specifications/rubypants-0.2.0.gemspec
I, [2014-01-06T10:17:07.263469 #2261]  INFO -- : 0:  sass-globbing (1.0.0) from /Library/Ruby/Gems/2.0.0/specifications/sass-globbing-1.0.0.gemspec
I, [2014-01-06T10:17:09.009464 #2261]  INFO -- : 0:  tilt (1.3.7) from /Library/Ruby/Gems/2.0.0/specifications/tilt-1.3.7.gemspec
I, [2014-01-06T10:17:13.088179 #2261]  INFO -- : 0:  sinatra (1.4.2) from /Library/Ruby/Gems/2.0.0/specifications/sinatra-1.4.2.gemspec
I, [2014-01-06T10:17:15.280935 #2261]  INFO -- : 0:  stringex (1.4.0) from /Library/Ruby/Gems/2.0.0/specifications/stringex-1.4.0.gemspec
I, [2014-01-06T10:17:15.281391 #2261]  INFO -- : 0:  bundler (1.5.1) from /Library/Ruby/Gems/2.0.0/specifications/bundler-1.5.1.gemspec
I, [2014-07-07T17:18:24.256130 #31824]  INFO -- : 0:  rake (0.9.6) from /Library/Ruby/Gems/2.0.0/specifications/default/rake-0.9.6.gemspec
I, [2014-07-07T17:18:24.257499 #31824]  INFO -- : 0:  RedCloth (4.2.9) from /Library/Ruby/Gems/2.0.0/specifications/RedCloth-4.2.9.gemspec
I, [2014-07-07T17:18:24.258020 #31824]  INFO -- : 0:  chunky_png (1.2.5) from /Library/Ruby/Gems/2.0.0/specifications/chunky_png-1.2.5.gemspec
I, [2014-07-07T17:18:24.258593 #31824]  INFO -- : 0:  fast-stemmer (1.0.1) from /Library/Ruby/Gems/2.0.0/specifications/fast-stemmer-1.0.1.gemspec
I, [2014-07-07T17:18:24.259073 #31824]  INFO -- : 0:  classifier (1.3.3) from /Library/Ruby/Gems/2.0.0/specifications/classifier-1.3.3.gemspec
I, [2014-07-07T17:18:24.259446 #31824]  INFO -- : 0:  fssm (0.2.9) from /Library/Ruby/Gems/2.0.0/specifications/fssm-0.2.9.gemspec
I, [2014-07-07T17:18:24.259759 #31824]  INFO -- : 0:  sass (3.2.9) from /Library/Ruby/Gems/2.0.0/specifications/sass-3.2.9.gemspec
I, [2014-07-07T17:18:24.260067 #31824]  INFO -- : 0:  compass (0.12.2) from /Library/Ruby/Gems/2.0.0/specifications/compass-0.12.2.gemspec
I, [2014-07-07T17:18:24.260372 #31824]  INFO -- : 0:  directory_watcher (1.4.1) from /Library/Ruby/Gems/2.0.0/specifications/directory_watcher-1.4.1.gemspec
I, [2014-07-07T17:18:24.260799 #31824]  INFO -- : 0:  haml (3.1.7) from /Library/Ruby/Gems/2.0.0/specifications/haml-3.1.7.gemspec
